a,b,c,d
0002.HK, 0.09114, 0.124960005, 22402000896
0003.HK, 0.11667, 0.16134001, 10845500416
0007.HK, 0.16795999, 0.95425004, 81829000
0018.HK, 0.115439996, 0.29112, 102619000
0032.HK, 0.122650005, 0.91944003, 269083008
0038.HK, 0.08245, 0.050440002, 1941342080
0040.HK, 0.090459995, 0.018170001, 219834000
0043.HK, 0.21058, 0.43584, 681667008
0046.HK, 0.123909995, 0.23347001, 70251000
0052.HK, 0.20501, 0.05805, 780788992
0059.HK, 0.21969, 0.10342, 561844992
0062.HK, 0.16502, 0.30279, 956412992
0077.HK, 0.28552, 0.07193, 115409000
0086.HK, 0.19277, 1.8867301, 285200000
0090.HK, 0.19677, 0.2091, 209848992
0097.HK, 0.082329996, 0.059109997, 379000000
0098.HK, 0.22606, 0.06439, 973398016
0103.HK, 0.10604999, 0.06688, 420049984
0104.HK, 0.14866, 0.05025, 136928000
0107.HK, 0.08139, 0.20101999, 2542076928
0111.HK, 0.089940004, 0.33562002, 194176000
0113.HK, 0.14863, 0.20295, 589470016
0133.HK, 0.26046, 0.65665, 31664196
0148.HK, 0.09814999, 0.10809, 9499692032
0149.HK, 0.27155, 0.75262, 321692992
0150.HK, 0.22181, 0.10469, 195715008
0151.HK, 0.27354, 0.18901, 5415567872
0152.HK, 0.11413, 0.21070999, 631764992
0168.HK, 0.13244, 0.08838, 6799959040
0175.HK, 0.09358, 0.06008, 1596592000
0177.HK, 0.111169994, 0.38484, 4062682112
0179.HK, 0.10413, 0.06718, 434383008
0185.HK, 0.1339, 0.097040005, 1843047040
0206.HK, 0.108780004, 0.25636998, 8385000
0220.HK, 0.1065, 0.05878, 2560163072
0240.HK, 0.31737, 0.057800002, 132284000
0255.HK, 0.103319995, 0.096590005, 455353984
0259.HK, 0.09911, 0.21047, 11891000
0267.HK, 0.08505, 0.07852, 193224998912
0285.HK, 0.27718002, 0.07441, 3208944896
0288.HK, 0.13411, 0.04399, 1410000000
0291.HK, 0.102139995, 0.066589996, 4480000000
0292.HK, 0.14453, 0.63587004, 1501485952
0297.HK, 0.08236, 0.03012, 990371968
